0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49

0,3,1
0,19,3
0,21,2
0,33,4
1,21,3
1,31,2
1,32,3
2,4,4
2,15,4
2,21,1
2,27,2
2,29,5
3,15,1
3,47,5
4,6,4
4,14,3
5,8,4
5,15,1
5,30,2
5,31,3
5,42,3
6,26,2
6,30,2
7,17,3
7,33,1
7,43,1
8,10,5
8,11,3
8,25,3
8,26,1
8,35,2
8,49,1
9,30,1
9,39,3
9,49,3
10,19,2
10,48,1
11,41,4
12,21,4
12,31,1
13,32,3
14,18,1
14,27,4
14,30,2
14,39,5
14,43,5
14,44,3
15,17,2
15,24,2
15,30,4
15,33,3
15,42,2
15,45,1
15,49,1
16,27,1
16,36,3
17,18,3
17,31,1
17,45,1
18,19,4
18,24,4
18,32,3
18,34,4
19,22,1
19,23,1
19,47,2
19,48,1
19,49,2
20,40,5
20,48,1
21,28,5
21,31,5
21,35,4
22,36,3
22,43,3
23,25,5
23,27,4
23,28,4
23,30,5
23,32,3
24,42,5
25,36,5
25,39,5
25,44,3
28,29,3
28,40,3
28,42,1
28,44,1
29,34,2
29,36,2
29,38,2
30,44,4
30,47,3
32,39,3
33,38,1
34,36,5
34,46,3
35,40,2
35,47,4
36,40,2
36,41,4
36,42,2
37,44,3
38,39,1
38,47,4
39,40,2
40,41,5
44,46,1
