0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49

0,5,5
0,13,4
1,8,1
1,19,3
1,21,5
1,24,1
1,29,4
1,32,4
1,34,4
1,35,3
2,8,4
2,12,4
2,21,2
2,31,5
2,33,1
2,48,1
3,12,4
3,16,2
3,18,4
3,25,3
3,26,5
3,32,2
3,33,1
3,34,2
4,32,5
5,13,5
5,25,3
5,26,4
5,30,3
5,31,1
5,41,3
6,43,2
7,12,2
7,14,5
7,23,2
7,29,3
7,30,5
7,33,1
7,40,2
7,49,1
8,29,4
8,36,1
8,38,2
8,43,5
9,19,3
9,23,3
9,45,4
9,46,2
9,48,2
10,31,3
10,43,3
10,47,5
11,27,2
11,34,2
11,44,3
11,45,1
11,49,5
12,17,5
12,20,1
12,37,5
13,20,4
13,22,4
13,35,1
13,42,1
14,23,2
14,32,3
14,36,1
14,41,3
14,43,1
14,48,3
15,16,2
15,27,4
15,37,3
15,38,4
15,41,3
16,29,5
16,34,3
16,39,2
16,46,1
16,47,3
17,48,1
17,49,2
18,20,4
18,22,5
18,28,3
18,41,3
18,43,4
18,44,5
19,37,2
19,49,1
20,28,1
20,45,5
20,48,1
21,25,1
21,29,4
21,33,5
22,37,1
22,44,1
22,48,3
23,30,3
23,39,1
23,41,4
23,45,5
24,28,2
25,26,2
25,27,5
25,28,5
25,38,2
25,41,4
26,37,4
27,34,1
27,42,4
27,49,3
28,46,4
28,49,2
29,33,2
30,31,1
30,32,4
30,42,2
30,47,1
30,48,2
31,33,4
31,36,5
32,33,2
32,46,3
33,36,5
36,40,5
36,41,1
37,38,2
37,44,2
40,41,3
40,42,2
41,47,1
